source_domain,target_domain,match_percentage,size
9news.com.au,10ztalk.com,86.74,1
9news.com.au,cnn.com,93.19,1
9news.com.au,dw.com,85.44,1
9news.com.au,dw.com,94.01,1
9news.com.au,theguardian.com,91.0,2
abc.net.au,rationalwiki.org,86.06,1
abc.net.au,sky.com,86.06,1
abc.net.au,zerohedge.com,85.46,1
aljazeera.com,atlanticcouncil.org,87.37,1
aljazeera.com,atlanticcouncil.org,90.5,1
aljazeera.com,cbc.ca,85.01,1
aljazeera.com,cnn.com,86.35,1
aljazeera.com,duke.edu,87.59,1
aljazeera.com,theatlantic.com,92.19,1
aljazeera.com,theaustraliatoday.com.au,86.31,1
aljazeera.com,thesaker.is,91.3,1
americanarchive.org,substack.com,85.8,1
americanarchive.org,thehub.ca,85.38,1
apnews.com,aljazeera.com,86.71,1
apnews.com,atlanticcouncil.org,86.33,1
apnews.com,atlanticcouncil.org,94.11,1
apnews.com,cbc.ca,86.0,1
apnews.com,cnn.com,94.31,1
apnews.com,ctvnews.ca,89.87,1
apnews.com,dailymail.co.uk,90.41,1
apnews.com,euractiv.com,88.14,1
apnews.com,fair.org,85.85,1
apnews.com,foxnews.com,85.78,2
apnews.com,github.com,86.61,1
apnews.com,medium.com,90.08,1
apnews.com,rationalwiki.org,87.68,1
apnews.com,thedispatch.com,86.04,1
apnews.com,theglobeandmail.com,93.23,1
apnews.com,wikipedia.org,85.59,1
apnews.com,wikipedia.org,87.84,1
apple.news,apple.news,100.0,64
atlanticcouncil.org,aljazeera.com,87.37,1
atlanticcouncil.org,apnews.com,94.11,1
atlanticcouncil.org,atlanticcouncil.org,87.12,1
atlanticcouncil.org,atlanticcouncil.org,100.0,1
atlanticcouncil.org,cbc.ca,88.57,1
atlanticcouncil.org,cbsnews.com,86.73,1
atlanticcouncil.org,cnn.com,92.46,1
atlanticcouncil.org,ctvnews.ca,88.16,1
atlanticcouncil.org,dailymail.co.uk,89.83,1
atlanticcouncil.org,dailymail.co.uk,89.92,1
atlanticcouncil.org,euractiv.com,86.41,1
atlanticcouncil.org,fair.org,88.5,1
atlanticcouncil.org,foxnews.com,85.51,2
atlanticcouncil.org,github.com,89.26,1
atlanticcouncil.org,ktbb.com,85.57,1
atlanticcouncil.org,medium.com,93.04,1
atlanticcouncil.org,rationalwiki.org,90.4,1
atlanticcouncil.org,sky.com,93.07,1
atlanticcouncil.org,substack.com,86.01,1
atlanticcouncil.org,substack.com,91.42,2
atlanticcouncil.org,theconversation.com,86.98,2
atlanticcouncil.org,thedispatch.com,87.58,1
atlanticcouncil.org,theglobeandmail.com,89.92,1
atlanticcouncil.org,theguardian.com,86.63,1
atlanticcouncil.org,theguardian.com,94.2,1
atlanticcouncil.org,thenewdaily.com.au,86.32,1
atlanticcouncil.org,voxukraine.org,89.35,1
atlanticcouncil.org,wikipedia.org,86.57,1
atlanticcouncil.org,wikipedia.org,87.46,1
atlanticcouncil.org,zerohedge.com,85.14,1
bbc.co.uk,bbc.co.uk,100.0,10
bbc.co.uk,bbc.com,100.0,1
bbc.com,bbc.co.uk,100.0,1
bbc.com,bbc.com,100.0,1
bloomberg.com,bloomberg.com,100.0,81
businessinsider.com,businessinsider.com,96.5,2
businessinsider.com,businessinsider.com,100.0,17
businessinsider.com,devdiscourse.com,86.56,1
businessinsider.com,msn.com,86.9,2
businessinsider.com,msn.com,89.04,1
businessinsider.com,peoplesworld.org,87.31,1
businessinsider.com,rt.com,87.4,1
businessinsider.com,thedailybeast.com,85.18,1
businessinsider.com,thegooglenews.in,85.09,1
businessinsider.com,thegooglenews.in,96.85,3
businessinsider.com,theguardian.com,85.65,2
businessinsider.com,worldnewsguru.us,96.24,2
businessinsider.com,yahoo.com,98.06,6
businesstoday.in,dailymail.co.uk,86.32,1
cbsnews.com,abc.net.au,93.11,1
cbsnews.com,apnews.com,85.32,1
cbsnews.com,atlanticcouncil.org,86.73,1
cbsnews.com,businessinsider.com,92.98,2
cbsnews.com,cbsnews.com,100.0,4
cbsnews.com,cnn.com,85.65,1
cbsnews.com,devdiscourse.com,88.81,2
cbsnews.com,fair.org,85.41,1
cbsnews.com,foxnews.com,85.57,4
cbsnews.com,msn.com,85.58,2
cbsnews.com,msn.com,86.86,2
cbsnews.com,nypost.com,85.6,1
cbsnews.com,peoplesworld.org,85.21,1
cbsnews.com,peoplesworld.org,86.43,2
cbsnews.com,rationalwiki.org,88.39,1
cbsnews.com,rt.com,88.18,2
cbsnews.com,sky.com,87.1,1
cbsnews.com,substack.com,85.58,1
cbsnews.com,thedailybeast.com,85.9,1
cbsnews.com,theguardian.com,88.19,1
cbsnews.com,voxukraine.org,85.98,1
cbsnews.com,zipinion.com,85.42,2
cepa.org,americanmilitarynews.com,86.32,2
cnbc.com,10ztalk.com,92.47,1
cnbc.com,rt.com,85.1,2
cnn.com,aljazeera.com,85.94,1
cnn.com,atlanticcouncil.org,86.16,1
cnn.com,atlanticcouncil.org,87.53,1
cnn.com,atlanticcouncil.org,92.46,1
cnn.com,cbc.ca,86.82,1
cnn.com,cbc.ca,88.04,1
cnn.com,cnn.com,100.0,1
cnn.com,ctvnews.ca,91.69,1
cnn.com,dw.com,85.89,1
cnn.com,express.co.uk,85.54,1
cnn.com,foxnews.com,87.08,2
cnn.com,foxnews.com,87.41,2
cnn.com,globalnews.ca,85.61,1
cnn.com,medium.com,90.0,1
cnn.com,theatlantic.com,87.39,1
cnn.com,theconversation.com,86.51,2
cnn.com,thedispatch.com,85.01,1
cnn.com,theguardian.com,85.17,4
cnn.com,theguardian.com,85.46,4
cnn.com,wikipedia.org,86.49,1
cnn.com,wikipedia.org,87.3,1
ctvnews.ca,aljazeera.com,88.28,1
ctvnews.ca,atlanticcouncil.org,88.16,1
ctvnews.ca,atlanticcouncil.org,90.8,1
ctvnews.ca,cbc.ca,93.71,1
ctvnews.ca,cnn.com,85.25,1
ctvnews.ca,duke.edu,85.5,1
ctvnews.ca,foxnews.com,86.2,2
ctvnews.ca,globalnews.ca,89.98,1
ctvnews.ca,indiatoday.in,85.08,1
ctvnews.ca,medium.com,86.27,1
ctvnews.ca,thedispatch.com,86.23,1
ctvnews.ca,theguardian.com,85.88,4
dailykos.com,businessinsider.com,85.63,1
dailykos.com,businessinsider.com,87.77,1
dailykos.com,cbsnews.com,89.49,2
dailykos.com,devdiscourse.com,85.49,1
dailykos.com,inews.co.uk,88.25,1
dailykos.com,msn.com,85.99,1
dailykos.com,msn.com,89.2,1
dailykos.com,peoplesworld.org,87.16,1
dailykos.com,thedailybeast.com,88.55,1
dailykos.com,theguardian.com,86.43,1
dailykos.com,worldnewsguru.us,85.58,1
dailymail.co.uk,apnews.com,90.56,1
dailymail.co.uk,atlanticcouncil.org,89.83,1
dailymail.co.uk,atlanticcouncil.org,89.92,1
dailymail.co.uk,cbc.ca,88.98,1
dailymail.co.uk,cnn.com,85.54,1
dailymail.co.uk,cnn.com,86.4,1
dailymail.co.uk,cnn.com,91.08,1
dailymail.co.uk,cnn.com,91.63,1
dailymail.co.uk,ctvnews.ca,85.96,1
dailymail.co.uk,ctvnews.ca,86.03,1
dailymail.co.uk,ctvnews.ca,89.05,1
dailymail.co.uk,dailymail.co.uk,99.14,1
dailymail.co.uk,devdiscourse.com,85.54,1
dailymail.co.uk,euractiv.com,86.43,1
dailymail.co.uk,euractiv.com,91.22,1
dailymail.co.uk,foxnews.com,85.79,2
dailymail.co.uk,foxnews.com,89.69,2
dailymail.co.uk,foxnews.com,89.8,1
dailymail.co.uk,github.com,85.83,1
dailymail.co.uk,globalnews.ca,86.57,1
dailymail.co.uk,globalnews.ca,88.93,1
dailymail.co.uk,hrw.org,88.12,1
dailymail.co.uk,huffpost.com,88.8,2
dailymail.co.uk,indiatoday.in,88.39,1
dailymail.co.uk,kentonline.co.uk,85.65,1
dailymail.co.uk,ktbb.com,85.01,1
dailymail.co.uk,medium.com,85.29,1
dailymail.co.uk,medium.com,85.81,1
dailymail.co.uk,president.gov.ua,89.95,1
dailymail.co.uk,purchaseagain.com,88.64,1
dailymail.co.uk,rationalwiki.org,87.48,1
dailymail.co.uk,reuters.com,86.7,1
dailymail.co.uk,theglobeandmail.com,85.46,1
dailymail.co.uk,theglobeandmail.com,87.13,1
dailymail.co.uk,theguardian.com,85.21,4
dailymail.co.uk,theguardian.com,85.69,2
dailymail.co.uk,theguardian.com,86.39,1
dailymail.co.uk,theguardian.com,88.96,4
dailymail.co.uk,wikipedia.org,86.84,1
dailymail.co.uk,wikipedia.org,87.43,1
dailyscope.net,dailyscope.net,100.0,4
dcdirtylaundry.com,foxnews.com,86.88,2
dcdirtylaundry.com,i24news.tv,85.38,1
dcdirtylaundry.com,indiatoday.in,85.74,1
dcdirtylaundry.com,kentonline.co.uk,86.28,1
dcdirtylaundry.com,president.gov.ua,88.87,1
dcdirtylaundry.com,theguardian.com,85.4,1
devdiscourse.com,foxnews.com,90.86,2
devdiscourse.com,timesofisrael.com,85.81,1
diferanprodz.com,lefigaro.fr,90.98,1
diferanprodz.com,lesoir.be,86.05,1
duke.edu,theatlantic.com,86.27,1
dw.com,10ztalk.com,90.98,1
dw.com,cnbc.com,88.49,1
dw.com,cnn.com,89.71,1
dw.com,theguardian.com,85.96,2
euractiv.com,aljazeera.com,85.12,1
euractiv.com,atlanticcouncil.org,86.41,1
euractiv.com,atlanticcouncil.org,86.85,1
euractiv.com,cbc.ca,93.53,1
euractiv.com,cnn.com,88.33,1
euractiv.com,cnn.com,88.66,1
euractiv.com,ctvnews.ca,93.2,1
euractiv.com,dailymail.co.uk,86.38,1
euractiv.com,foxnews.com,87.39,1
euractiv.com,foxnews.com,90.08,2
euractiv.com,globalnews.ca,93.19,1
euractiv.com,huffpost.com,90.68,2
euractiv.com,indiatoday.in,88.25,1
euractiv.com,kentonline.co.uk,88.4,1
euractiv.com,ktbb.com,86.41,1
euractiv.com,president.gov.ua,90.38,1
euractiv.com,purchaseagain.com,87.57,1
euractiv.com,reuters.com,86.78,1
euractiv.com,theglobeandmail.com,92.96,1
euractiv.com,theguardian.com,89.78,4
euronews.com,cnn.com,85.18,1
euronews.com,lechorepublicain.fr,86.01,1
euronews.com,lejdc.fr,86.01,1
euronews.com,newsposter.net,90.03,1
euronews.com,tagesschau.de,88.6,1
europaportalen.se,aftonbladet.se,86.18,1
express.co.uk,devdiscourse.com,85.76,1
fair.org,atlanticcouncil.org,88.5,1
fair.org,medium.com,86.48,1
formiche.net,carc.it,87.04,1
formiche.net,ilsimplicissimus2.com,90.05,1
formiche.net,limesonline.com,86.62,1
foxnews.com,atlanticcouncil.org,85.51,2
foxnews.com,cbc.ca,85.86,2
foxnews.com,cbc.ca,87.93,1
foxnews.com,cbc.ca,88.24,2
foxnews.com,cbsnews.com,85.57,4
foxnews.com,cnn.com,85.75,1
foxnews.com,dailymail.co.uk,86.01,1
foxnews.com,dcdirtylaundry.com,88.28,1
foxnews.com,devdiscourse.com,88.36,1
foxnews.com,devdiscourse.com,90.86,2
foxnews.com,foxnews.com,87.5,8
foxnews.com,foxnews.com,92.59,2
foxnews.com,foxnews.com,92.62,2
foxnews.com,foxnews.com,100.0,5
foxnews.com,globalnews.ca,85.13,2
foxnews.com,globalnews.ca,89.36,1
foxnews.com,huffpost.com,89.68,4
foxnews.com,huffpost.com,90.78,2
foxnews.com,i24news.tv,87.95,2
foxnews.com,i24news.tv,88.69,1
foxnews.com,indiatoday.in,86.95,1
foxnews.com,kentonline.co.uk,90.35,1
foxnews.com,ktbb.com,86.91,1
foxnews.com,president.gov.ua,86.72,2
foxnews.com,president.gov.ua,90.51,1
foxnews.com,purchaseagain.com,91.05,1
foxnews.com,purchaseagain.com,91.28,2
foxnews.com,reuters.com,85.74,1
foxnews.com,theguardian.com,85.73,2
foxnews.com,theguardian.com,87.39,8
foxnews.com,theguardian.com,91.55,4
foxnews.com,theguardian.com,93.5,8
foxnews.com,timesofisrael.com,85.36,1
foxnews.com,timesofisrael.com,87.91,2
foxnews.com,yahoo.com,86.93,2
ft.com,ft.com,100.0,4
github.com,atlanticcouncil.org,89.26,1
github.com,cnn.com,87.66,1
github.com,ctvnews.ca,86.71,1
github.com,foxnews.com,85.36,2
github.com,jacobinmag.com,86.01,1
github.com,kentonline.co.uk,85.59,1
github.com,medium.com,95.82,1
github.com,rationalwiki.org,85.74,1
github.com,substack.com,85.1,1
github.com,theconversation.com,89.63,2
github.com,theglobeandmail.com,85.05,1
github.com,wikipedia.org,85.86,1
globalnews.ca,aljazeera.com,87.33,1
globalnews.ca,atlanticcouncil.org,87.44,1
globalnews.ca,cbc.ca,91.25,1
globalnews.ca,cnn.com,91.76,1
globalnews.ca,foxnews.com,85.13,2
globalnews.ca,foxnews.com,90.85,2
globalnews.ca,i24news.tv,85.72,1
globalnews.ca,indiatoday.in,90.11,1
globalnews.ca,purchaseagain.com,86.78,1
globalnews.ca,taskandpurpose.com,86.99,1
globalnews.ca,theatlantic.com,85.11,1
globalnews.ca,theguardian.com,87.27,1
globalnews.ca,theguardian.com,87.53,4
globalnews.ca,wnycatholic.org,86.84,1
globaltimes.cn,americanmilitarynews.com,86.03,2
globaltimes.cn,globaltimes.cn,100.0,1
globenewswire.com,globenewswire.com,100.0,4
hrw.org,aljazeera.com,85.27,1
hrw.org,cnn.com,87.07,1
hrw.org,ctvnews.ca,85.19,1
hrw.org,dailymail.co.uk,87.23,1
hrw.org,dailymail.co.uk,88.12,1
hrw.org,duke.edu,85.44,1
hrw.org,hrw.org,86.33,1
hrw.org,hrw.org,100.0,2
hrw.org,medium.com,85.11,1
hrw.org,rationalwiki.org,85.77,1
hrw.org,thedispatch.com,85.28,1
hrw.org,wikipedia.org,85.38,1
hrw.org,wikipedia.org,87.22,1
huffpost.com,atlanticcouncil.org,87.4,2
huffpost.com,cbc.ca,92.83,2
huffpost.com,cnn.com,90.32,2
huffpost.com,ctvnews.ca,89.27,2
huffpost.com,dailymail.co.uk,88.8,2
huffpost.com,devdiscourse.com,85.79,2
huffpost.com,euractiv.com,90.68,2
huffpost.com,foxnews.com,87.52,4
huffpost.com,foxnews.com,89.68,4
huffpost.com,foxnews.com,90.78,2
huffpost.com,globalnews.ca,91.56,2
huffpost.com,huffpost.com,100.0,4
huffpost.com,indiatoday.in,85.91,2
huffpost.com,kentonline.co.uk,86.89,2
huffpost.com,president.gov.ua,89.99,2
huffpost.com,purchaseagain.com,90.25,2
huffpost.com,reuters.com,89.82,2
huffpost.com,taskandpurpose.com,87.01,2
huffpost.com,theglobeandmail.com,86.9,2
huffpost.com,theguardian.com,85.91,2
huffpost.com,theguardian.com,89.47,8
huffpost.com,thenewdaily.com.au,90.15,2
i24news.tv,foxnews.com,87.95,2
i24news.tv,foxnews.com,89.98,2
i24news.tv,theconversation.com,86.59,2
i24news.tv,wnycatholic.org,86.61,1
ilsimplicissimus2.com,carc.it,86.87,1
ilsimplicissimus2.com,limesonline.com,87.58,1
independent.co.uk,independent.co.uk,100.0,4
indianexpress.com,indianexpress.com,100.0,1
indiatoday.in,aljazeera.com,86.17,1
indiatoday.in,cbc.ca,85.17,1
indiatoday.in,cnn.com,91.51,1
indiatoday.in,foxnews.com,88.89,2
indiatoday.in,purchaseagain.com,86.04,1
indiatoday.in,rt.com,85.55,1
indiatoday.in,theatlantic.com,85.91,1
indiatoday.in,theguardian.com,86.55,4
indiatoday.in,theguardian.com,87.98,1
inews.co.uk,businessinsider.com,85.27,1
inews.co.uk,businessinsider.com,86.07,2
inews.co.uk,businessinsider.com,86.7,1
inews.co.uk,cbsnews.com,88.83,2
inews.co.uk,peoplesworld.org,86.8,1
inews.co.uk,rt.com,85.94,1
inews.co.uk,worldnewsguru.us,86.37,1
johnpilger.com,theatlantic.com,87.68,1
kentonline.co.uk,cbc.ca,87.36,1
kentonline.co.uk,ctvnews.ca,85.15,1
kentonline.co.uk,dailymail.co.uk,87.59,1
kentonline.co.uk,foxnews.com,88.31,2
kentonline.co.uk,globalnews.ca,86.81,1
kentonline.co.uk,indiatoday.in,87.07,1
kentonline.co.uk,purchaseagain.com,87.45,1
kentonline.co.uk,theguardian.com,86.53,2
kentonline.co.uk,theguardian.com,90.06,4
kentonline.co.uk,theleftchapter.com,85.22,1
ktbb.com,atlanticcouncil.org,85.57,1
ktbb.com,cbc.ca,85.33,1
ktbb.com,cnn.com,86.01,1
ktbb.com,foxnews.com,94.16,2
ktbb.com,globalnews.ca,86.56,1
ktbb.com,i24news.tv,89.07,1
ktbb.com,president.gov.ua,89.2,1
ktbb.com,theconversation.com,89.41,2
ktbb.com,theguardian.com,87.71,4
kyivindependent.com,rt.com,85.29,1
lesoir.be,lefigaro.fr,92.59,1
limesonline.com,carc.it,88.09,1
medium.com,atlanticcouncil.org,93.04,1
medium.com,cnn.com,90.0,1
medium.com,ctvnews.ca,86.27,1
medium.com,fair.org,86.48,1
medium.com,medium.com,100.0,2
medium.com,substack.com,86.92,1
medium.com,theconversation.com,87.83,2
medium.com,thedispatch.com,85.32,1
medium.com,wikipedia.org,85.74,1
medium.com,wikipedia.org,87.44,1
mronline.org,theguardian.com,85.43,1
mronline.org,wikipedia.org,85.65,1
mronline.org,zerohedge.com,85.51,1
msn.com,businessinsider.com,86.9,2
msn.com,businessinsider.com,87.79,1
msn.com,businessinsider.com,88.31,1
msn.com,cbsnews.com,89.78,2
msn.com,cnbc.com,85.02,2
msn.com,dailykos.com,87.01,1
msn.com,devdiscourse.com,90.35,1
msn.com,foxnews.com,86.32,1
msn.com,foxnews.com,88.49,2
msn.com,inews.co.uk,88.57,1
msn.com,msn.com,85.26,1
msn.com,msn.com,85.99,1
msn.com,peoplesworld.org,88.89,1
msn.com,rt.com,86.91,1
msn.com,thedailybeast.com,89.43,1
msn.com,thegooglenews.in,87.12,1
msn.com,theguardian.com,85.35,1
nbcnews.com,10ztalk.com,88.23,1
nbcnews.com,9news.com.au,96.06,1
nbcnews.com,cnbc.com,86.24,1
nbcnews.com,cnn.com,91.08,1
nbcnews.com,dw.com,94.92,1
nbcnews.com,theguardian.com,89.66,2
nbcnews.com,yahoo.com,85.19,1
newsmax.com,msn.com,86.35,2
newsmax.com,newsmax.com,100.0,4
newsposter.net,tagesschau.de,87.79,1
nj.com,euractiv.com,85.45,1
nj.com,foxnews.com,85.57,2
nj.com,github.com,85.35,1
nj.com,globalnews.ca,85.3,1
nj.com,i24news.tv,85.6,1
nj.com,president.gov.ua,85.35,1
nj.com,theatlantic.com,85.0,1
nj.com,theguardian.com,85.43,4
nj.com,wnycatholic.org,92.56,1
nypost.com,cbc.ca,90.72,1
nypost.com,cbsnews.com,85.6,1
nypost.com,cnn.com,91.59,1
nypost.com,ctvnews.ca,86.95,1
nypost.com,dailymail.co.uk,87.16,1
nypost.com,dailymail.co.uk,89.43,1
nypost.com,dcdirtylaundry.com,86.74,1
nypost.com,devdiscourse.com,85.55,1
nypost.com,euractiv.com,87.44,1
nypost.com,euractiv.com,90.01,1
nypost.com,foxnews.com,87.65,2
nypost.com,foxnews.com,89.53,1
nypost.com,foxnews.com,90.27,2
